stem,baseGain,rawHardClipFraction,meanY,medianY,q75Y,q90Y,q95Y,q99Y,dark32,dark64,bright192,bright224,bright240,centerMeanY,centerMedianY,centerQ95Y,topMeanY,topMedianY,middleMeanY,middleMedianY,bottomMeanY,bottomMedianY,upperLowerEv,ev,gain,rgb8EndpointFraction
IMG_20260905_182756_1788629276986_00,1.870739148505185,7.62939453125e-06,109.96606985727946,83.0,193.0,219.0,236.0,250.0,0.20157599449157715,0.42365606625874835,0.2597433725992839,0.0822438398996989,0.04381720225016276,118.83317629496257,102.0,249.0,115.36601042747498,98.0,126.87308239936829,130.0,87.65911674499512,45.0,0.3962421868649008,0.0,1.870739148505185,0.0299990177154541
IMG_20260905_182756_1788629276986_00,1.870739148505185,7.62939453125e-06,100.58896525700887,71.0,181.0,207.0,227.0,243.0,0.26428405443827313,0.4743030865987142,0.17640193303426108,0.055160919825236,0.0218660831451416,109.0748160680135,89.0,242.0,104.59740972518921,85.0,117.47303462028503,117.0,79.69645142555237,37.0,0.39225973165502914,-0.25,1.5730978438527963,0.025124205483330612
IMG_20260905_182756_1788629276986_00,1.870739148505185,7.62939453125e-06,91.49888300895691,60.0,168.0,195.0,216.0,235.0,0.3259553909301758,0.5182299613952637,0.11539800961812337,0.03811852137247721,0.0010046958923339844,99.51412995656331,77.0,233.0,94.21622943878174,73.0,108.15916872024536,104.0,72.12125086784363,31.0,0.3855511770537919,-0.5,1.322812337739164,0.026294337378607858
IMG_20260905_182756_1788629276986_00,1.870739148505185,7.62939453125e-06,82.76756866772969,50.0,155.0,182.0,204.0,225.0,0.38669411341349286,0.556360642115275,0.07296085357666016,0.013762553532918295,1.5894571940104166e-07,90.29580275217693,65.0,223.0,84.33245277404785,61.0,99.04210948944092,91.0,64.92814373970032,25.0,0.3772439511418147,-0.75,1.112348152858249,0.027982023027208116
IMG_20260905_182012_1788628812172_00,1.108333322323031,0.015076160430908203,42.04139677683512,2.0,17.0,224.0,245.0,255.0,0.7833179632822672,0.8105746905008951,0.12961610158284506,0.1010581652323405,0.06545265515645345,56.63560390472412,5.0,255.0,66.48045611381531,5.0,50.410845041275024,4.0,9.232889175415039,1.0,2.848076205437627,0.0,1.108333322323031,0.4120799435509576
IMG_20260905_182012_1788628812172_00,1.108333322323031,0.015076160430908203,39.4510133266449,1.0,13.0,213.0,237.0,254.0,0.7909946441650391,0.8167182604471842,0.12136308352152507,0.0799558162689209,0.04360858599344889,53.98474280039469,4.0,254.0,62.64516043663025,4.0,47.60712933540344,2.0,8.100750207901001,0.0,2.951075633658766,-0.25,0.9319935176476765,0.4311550723181831
IMG_20260905_182012_1788628812172_00,1.108333322323031,0.015076160430908203,36.78481046358744,1.0,11.0,201.0,227.0,248.0,0.7980328400929769,0.822608232498169,0.11102501551310222,0.058294455210367836,0.034820874532063804,50.95620886484782,3.0,248.0,58.65272235870361,2.0,44.59819054603577,2.0,7.103518486022949,0.0,3.0455923756858234,-0.5,0.7837100080296308,0.48625747362772614
IMG_20260905_182012_1788628812172_00,1.108333322323031,0.015076160430908203,34.138117949167885,0.0,8.0,189.0,216.0,240.0,0.804671843846639,0.8284282684326172,0.09557000796000163,0.04088719685872396,0.025362412134806316,47.85219955444336,2.0,240.0,54.61050534248352,2.0,41.57573843002319,1.0,6.228110074996948,0.0,3.1323121591594005,-0.75,0.6590189363505763,0.5326168802049426
